Median Household Income by State by Race of Householder,,,,,,,,,,,,,,
State,White,Margin Of Error,Black or African American,Margin Of Error,American Indian and Alaska Native,Margin Of Error,Asian,Margin Of Error,Native Hawaiian and Other Pacific Islander,Margin Of Error,Some Other Race,Margin Of Error,Two or More Races,Margin Of Error
Alabama,"$57,551 ",+/- $373,"$33,928 ",+/- $478,"$50,114 ","+/- $5,092","$63,149 ","+/- $3,805","$28,377 ","+/- $13,016","$36,195 ","+/- $1,809","$44,274 ","+/- $2,066"
Alaska,"$85,298 ","+/- $1,113","$62,191 ","+/- $6,926","$49,959 ","+/- $2,115","$73,014 ","+/- $4,504","$66,994 ","+/- $19,025","$66,880 ","+/- $5,833","$69,752 ","+/- $3,035"
Arizona,"$61,172 ",+/- $299,"$47,386 ","+/- $1,105","$37,974 ",+/- $836,"$78,785 ","+/- $1,765","$60,905 ","+/- $4,758","$46,325 ",+/- $989,"$55,685 ","+/- $1,934"
Arkansas,"$51,340 ",+/- $402,"$32,070 ",+/- $577,"$40,625 ","+/- $2,569","$71,716 ","+/- $5,312","$46,569 ","+/- $9,232","$40,276 ","+/- $1,877","$38,755 ","+/- $2,624"
California,"$78,308 ",+/- $319,"$51,837 ",+/- $519,"$55,362 ","+/- $1,175","$96,962 ",+/- $516,"$77,788 ","+/- $3,311","$55,823 ",+/- $405,"$76,116 ",+/- $844
Colorado,"$74,730 ",+/- $432,"$51,677 ","+/- $1,271","$47,097 ","+/- $2,574","$80,261 ","+/- $2,050","$71,173 ","+/- $12,991","$51,370 ","+/- $1,858","$66,582 ","+/- $2,771"
Connecticut,"$85,502 ",+/- $578,"$49,000 ","+/- $1,349","$43,350 ","+/- $8,732","$96,689 ","+/- $2,463","$37,000 ","+/- $22,601","$41,569 ","+/- $1,243","$58,464 ","+/- $3,813"
Delaware,"$72,508 ",+/- $880,"$50,361 ","+/- $1,909","$51,891 ","+/- $12,246","$96,966 ","+/- $5,429","$55,990 ","+/- $37,875","$57,363 ","+/- $3,123","$59,340 ","+/- $7,752"
District of Columbia,"$138,231 ","+/- $2,267","$45,072 ","+/- $1,465",$X,X,"$106,480 ","+/- $5,371","$127,917 ","+/- $43,842","$60,149 ","+/- $4,465","$93,455 ","+/- $9,645"
Florida,"$58,809 ",+/- $248,"$41,702 ",+/- $366,"$48,608 ","+/- $1,827","$72,205 ","+/- $1,362","$52,632 ","+/- $4,834","$46,319 ","+/- $1,019","$54,597 ","+/- $1,388"
Georgia,"$66,473 ",+/- $437,"$44,670 ",+/- $407,"$38,720 ","+/- $3,034","$80,977 ","+/- $1,638","$42,715 ","+/- $8,690","$45,258 ","+/- $1,289","$57,072 ","+/- $2,704"
Hawaii,"$81,319 ","+/- $1,167","$69,678 ","+/- $5,813","$49,208 ","+/- $16,795","$86,443 ","+/- $1,097","$64,142 ","+/- $2,300","$70,554 ","+/- $3,466","$81,850 ","+/- $1,555"
Idaho,"$56,683 ",+/- $546,"$43,034 ","+/- $4,962","$39,697 ","+/- $2,967","$53,243 ","+/- $5,310","$39,828 ","+/- $8,472","$46,734 ","+/- $3,734","$49,523 ","+/- $4,448"
Illinois,"$71,922 ",+/- $280,"$38,573 ",+/- $496,"$49,634 ","+/- $5,879","$90,278 ","+/- $1,304","$46,023 ","+/- $12,177","$52,832 ",+/- $832,"$59,451 ","+/- $1,722"
Indiana,"$59,415 ",+/- $306,"$34,895 ",+/- $732,"$48,360 ","+/- $5,201","$63,722 ","+/- $1,920","$58,106 ","+/- $13,231","$44,866 ","+/- $1,860","$44,222 ","+/- $2,452"
Iowa,"$62,097 ",+/- $308,"$32,139 ","+/- $1,131","$36,794 ","+/- $4,192","$59,890 ","+/- $2,558","$48,173 ","+/- $12,378","$47,938 ","+/- $2,731","$44,727 ","+/- $2,710"
Kansas,"$61,812 ",+/- $330,"$38,079 ","+/- $1,284","$41,691 ","+/- $3,791","$70,987 ","+/- $2,659","$60,323 ","+/- $9,519","$46,581 ","+/- $1,864","$48,392 ","+/- $1,948"
Kentucky,"$52,278 ",+/- $303,"$36,424 ",+/- $774,"$34,250 ","+/- $6,739","$64,044 ","+/- $2,721","$50,881 ","+/- $11,220","$39,078 ","+/- $2,828","$40,796 ","+/- $1,779"
Louisiana,"$60,288 ",+/- $555,"$30,540 ",+/- $285,"$43,875 ","+/- $3,988","$60,955 ","+/- $4,218","$46,875 ","+/- $15,041","$37,159 ","+/- $2,556","$46,736 ","+/- $3,057"
Maine,"$58,459 ",+/- $501,"$42,901 ","+/- $5,996","$33,767 ","+/- $4,305","$63,763 ","+/- $4,875",$X,X,"$58,049 ","+/- $13,049","$42,317 ","+/- $4,588"
